url	kind	angle	via	fetched_at	status	date	numbers	title	quote
https://github.com/MarcelRoozekrans/roslyn-codelens-mcp	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:42+00:00	ok	2026-09-03		Roslyn CodeLens MCP Server	A Roslyn-based MCP server that gives AI agents deep semantic understanding of .NET codebases - type hierarchies, call graphs, DI registrations, diagnostics, refactoring, and more.
https://github.com/MadQ/RoslynMcp	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:42+00:00	ok	2026-09-03		MadQ/RoslynMcp	RoslynMcp is a Model Context Protocol server that gives AI coding agents real Roslyn compiler semantics: type resolution, cross-file references, semantic rename, diagnostics, and 43 MCP tools.
https://github.com/oraios/serena/blob/main/src/solidlsp/language_servers/csharp_language_server.py	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:42+00:00	ok	2026-09-03		Serena C# engine	CSharp Language Server using Roslyn Language Server (Official Roslyn-based LSP server from NuGet.org)
https://www.nuget.org/packages/roslyn-language-server.linux-arm64/	registry	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:42+00:00	ok	2026-08-27		roslyn-language-server on NuGet	A Language Server Protocol (LSP) implementation for C# and Razor powered by Roslyn.
https://claude.com/plugins/csharp-lsp	registry	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:43+00:00	ok			C# LSP Plugin - Anthropic Verified	C# language server integration for Claude Code, providing rich code intelligence for C# projects.
https://github.com/sourcegraph/scip-dotnet	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:43+00:00	ok	2026-08-31		sourcegraph/scip-dotnet	SCIP indexer for the C# and Visual basic programming languages. Built with the Roslyn .NET compiler
https://devblogs.microsoft.com/visualstudio/unlock-language-specific-rich-symbol-context-using-new-find_symbol-tool/	vendor_announcement	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:43+00:00	ok	2026-02-11		find_symbol tool - Visual Studio Blog	Find_symbol exposes rich, language-specific symbol information to Copilot Agent Mode, allowing the agent to reason about symbols (including functions, classes, interfaces, and variables).
https://github.com/colbymchenry/codegraph	vendor_docs	Which local-first codebase indexers build a symbol or knowledge graph for AI coding agents using tree-sitter or AST parsing?	webfetch	2026-09-03T19:26:43+00:00	ok	2026-08-31		colbymchenry/codegraph	Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, CoPilot, and Hermes Agent - fewer tokens, fewer tool calls, 100% local
https://github.com/codegraphcontext/codegraphcontext	vendor_docs	Which local-first codebase indexers build a symbol or knowledge graph for AI coding agents using tree-sitter or AST parsing?	webfetch	2026-09-03T19:26:43+00:00	ok	2026-09-02		CodeGraphContext	When SCIP_INDEXER=true in your CGC config, some languages use external SCIP indexers for more accurate calls and inheritance than Tree-sitter heuristics alone.
https://arxiv.org/html/2603.27277v1	analyst	Which local-first codebase indexers build a symbol or knowledge graph for AI coding agents using tree-sitter or AST parsing?	webfetch	2026-09-03T19:26:44+00:00	ok	2026-03-28		Codebase-Memory: Tree-Sitter-Based Knowledge Graphs	Codebase-Memory achieves 83% answer quality versus 92% for a file-exploration agent, at ten times fewer tokens and 2.1 times fewer tool calls.
https://github.com/dotnet/vscode-csharp/issues/7590	community	Can any code search or agent code-intelligence tool find symbol references inside Razor views and Blazor components?	webfetch	2026-09-03T19:26:44+00:00	ok	2024-09-21		Find references does not show refs in .cshtml/razor files	"Find references" does not show refs in .cshtml/razor files
https://github.com/dotnet/razor/issues/9369	community	Can any code search or agent code-intelligence tool find symbol references inside Razor views and Blazor components?	webfetch	2026-09-03T19:26:44+00:00	ok			Find All References showing razor__virtual.cs	Find All References - Showing razor__virtual.cs instead of actual References
https://github.com/colbymchenry/codegraph/issues/648	community	Can any code search or agent code-intelligence tool find symbol references inside Razor views and Blazor components?	webfetch	2026-09-03T19:26:44+00:00	ok	2026-06-02		Tracking: language support requests (post-1.0 roadmap)	TypeScript/JavaScript, ArkTS (HarmonyOS), Python, Go, Rust, Java, Kotlin, Scala, C/C++, CUDA, C#, Visual Basic .NET, Swift, Objective-C, Metal, PHP, Ruby, Dart, Lua/Luau, R, Erlang, CFML, COBOL, Solidity, Terraform/OpenTofu (HCL), Nix, Svelte, Vue, Astro, Razor/Blazor, Liquid, Pascal/Delphi.
https://github.com/github/code-navigation	vendor_docs	Can any code search or agent code-intelligence tool find symbol references inside Razor views and Blazor components?	webfetch	2026-09-03T19:26:44+00:00	ok			github/code-navigation supported languages	Code navigation is supported for the following languages: Bash, C#, C++, CodeQL, Elixir, Go, JSX, Java, JavaScript, Lua, PHP, Protocol Buffers, Python, R, Ruby, Rust, Scala, Starlark, Swift, Typescript
https://github.com/nvim-treesitter/nvim-treesitter/blob/main/SUPPORTED_LANGUAGES.md	vendor_docs	Can any code search or agent code-intelligence tool find symbol references inside Razor views and Blazor components?	webfetch	2026-09-03T19:26:44+00:00	ok			nvim-treesitter supported languages	[razor](https://github.com/tris203/tree-sitter-razor) | unstable | `HF J` | @tris203
https://github.com/razzmatazz/csharp-language-server	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:30:20+00:00	ok	2026-08-31		csharp-ls	csharp-ls brings advanced language features like code completion, diagnostics, and refactoring to your editor for C# projects.
https://github.com/Graphify-Labs/graphify	registry	Which local-first codebase indexers build a symbol or knowledge graph for AI coding agents using tree-sitter or AST parsing?	api	2026-09-03T19:30:20+00:00	ok	2026-09-03		Graphify-Labs/graphify, GitHub API	stargazers_count 114322, created_at 2026-04-03, license Apache-2.0
https://github.com/abhigyanpatwari/GitNexus	registry	Which local-first codebase indexers build a symbol or knowledge graph for AI coding agents using tree-sitter or AST parsing?	api	2026-09-03T19:30:20+00:00	ok	2026-09-03		abhigyanpatwari/GitNexus, GitHub API	stargazers_count 46964, created_at 2025-08-02, license NOASSERTION
